Gestures,Hand,HandPalmPosition,HandPalmOrientation
5,Right,"(53.993, 353.952, -39.4531)","(-0.0955826, 0.282907, -0.954373)"
5,Right,"(53.5278, 353.878, -39.6605)","(-0.0952132, 0.286406, -0.953366)"
4,Left,"(-1.3188, 342.888, -49.7428)","(-0.10508, 0.13449, -0.985328)"
4,Left,"(-2.80544, 342.088, -50.1774)","(-0.107074, 0.132457, -0.985388)"
4,Left,"(-4.30102, 341.444, -50.587)","(-0.108053, 0.12847, -0.985809)"
4,Left,"(-5.80852, 340.842, -50.9924)","(-0.111806, 0.133188, -0.984764)"
4,Left,"(-7.4401, 340.417, -51.5205)","(-0.115245, 0.135687, -0.984026)"
4,Left,"(-8.97034, 339.889, -52.0479)","(-0.118087, 0.135347, -0.983736)"
4,Left,"(-10.4736, 339.355, -52.6301)","(-0.119942, 0.135582, -0.983479)"
4,Left,"(-11.9969, 338.727, -53.0287)","(-0.121944, 0.130326, -0.983943)"
4,Left,"(-13.4868, 338.068, -53.5254)","(-0.125473, 0.126878, -0.98395)"
4,Left,"(-14.9255, 337.442, -53.9772)","(-0.126101, 0.12336, -0.984317)"
4,Left,"(-16.3843, 336.734, -54.5034)","(-0.131012, 0.130253, -0.982787)"
4,Left,"(-17.6908, 336.109, -54.9553)","(-0.132353, 0.124699, -0.983327)"
4,Left,"(-18.9481, 335.706, -55.4779)","(-0.134088, 0.122381, -0.983384)"
4,Left,"(-20.2089, 335.316, -56.0028)","(-0.135947, 0.121241, -0.98327)"
4,Left,"(-21.3442, 334.87, -56.6168)","(-0.136622, 0.12276, -0.982987)"
4,Left,"(-22.437, 334.32, -57.1896)","(-0.138132, 0.119515, -0.983176)"
4,Left,"(-23.3627, 333.75, -57.7472)","(-0.13881, 0.11492, -0.983629)"
4,Left,"(-24.2081, 333.298, -58.3217)","(-0.137552, 0.117265, -0.983528)"
4,Left,"(-25.0323, 332.623, -58.9573)","(-0.138553, 0.117826, -0.983321)"
4,Left,"(-25.6544, 332.118, -59.5701)","(-0.138078, 0.115068, -0.983714)"
4,Left,"(-26.35, 331.533, -60.2156)","(-0.138573, 0.112195, -0.983976)"
4,Left,"(-26.9229, 330.972, -60.8405)","(-0.138341, 0.10751, -0.984532)"
4,Left,"(-27.4684, 330.471, -61.4991)","(-0.139011, 0.105859, -0.984617)"
4,Left,"(-27.8775, 329.845, -62.1513)","(-0.140644, 0.10492, -0.984485)"
4,Left,"(-28.2379, 329.345, -62.8258)","(-0.140522, 0.106966, -0.984282)"
4,Left,"(-28.5379, 328.945, -63.6275)","(-0.141271, 0.107502, -0.984117)"
4,Left,"(-28.7023, 328.375, -64.4004)","(-0.140384, 0.105666, -0.984442)"
4,Left,"(-28.8111, 327.844, -65.2052)","(-0.138841, 0.102221, -0.985025)"
4,Left,"(-28.8637, 327.2, -66.0033)","(-0.137297, 0.0963597, -0.985832)"
4,Left,"(-28.4762, 325.78, -68.8837)","(-0.133059, 0.08922, -0.987084)"
4,Left,"(-28.1757, 325.218, -69.6032)","(-0.131352, 0.0865553, -0.98755)"
4,Left,"(-27.7913, 324.502, -70.6377)","(-0.130517, 0.0861103, -0.987699)"
4,Left,"(-27.3717, 323.894, -71.6702)","(-0.127446, 0.0845083, -0.988239)"
4,Left,"(-26.9166, 323.207, -72.7531)","(-0.125232, 0.0817527, -0.988754)"
4,Left,"(-26.4316, 322.534, -73.6879)","(-0.12201, 0.08341, -0.989018)"
4,Left,"(-25.8458, 321.85, -74.7772)","(-0.119681, 0.0823732, -0.989389)"
4,Left,"(-25.1971, 321.239, -75.9167)","(-0.115947, 0.0813651, -0.989917)"
4,Left,"(-24.4873, 320.654, -76.9666)","(-0.111232, 0.0762189, -0.990867)"
4,Left,"(-23.7563, 320.162, -77.9793)","(-0.107688, 0.0692342, -0.991771)"
4,Left,"(-23.0395, 319.546, -79.0173)","(-0.104772, 0.0728902, -0.991822)"
4,Left,"(-22.3755, 319.237, -80.2195)","(-0.103046, 0.0710233, -0.992138)"
4,Left,"(-21.6256, 318.925, -81.3801)","(-0.100783, 0.0736843, -0.992176)"
4,Left,"(-20.8526, 318.588, -82.4468)","(-0.0977241, 0.0727979, -0.992547)"
4,Left,"(-20.0724, 318.391, -83.5905)","(-0.0932611, 0.0722054, -0.99302)"
4,Left,"(-19.2493, 318.141, -84.7509)","(-0.0911828, 0.0767064, -0.992876)"
4,Left,"(-18.5046, 318.001, -85.8886)","(-0.0895618, 0.0773857, -0.99297)"
4,Left,"(-17.724, 317.921, -87.0032)","(-0.0875421, 0.0775042, -0.993141)"
4,Left,"(-17.0446, 317.896, -88.3479)","(-0.0859952, 0.0910767, -0.992124)"
4,Left,"(-16.3168, 317.741, -89.4345)","(-0.0836972, 0.0962446, -0.991832)"
4,Left,"(-15.5455, 317.44, -90.6033)","(-0.0819464, 0.0999468, -0.991613)"
4,Left,"(-14.8128, 317.196, -91.7296)","(-0.0793719, 0.10088, -0.991727)"
4,Left,"(-14.0742, 316.862, -92.8933)","(-0.077824, 0.103598, -0.99157)"
4,Left,"(-13.3223, 316.362, -93.9322)","(-0.0748481, 0.101785, -0.991987)"
4,Left,"(-12.5175, 316.056, -94.9765)","(-0.0717854, 0.0968818, -0.992704)"
4,Left,"(-11.7605, 315.88, -96.0509)","(-0.0692267, 0.0975314, -0.992822)"
4,Left,"(-11.0391, 315.608, -97.1314)","(-0.0682574, 0.0946187, -0.993171)"
4,Left,"(-10.2477, 315.288, -98.1922)","(-0.0646414, 0.0924881, -0.993613)"
4,Left,"(-9.50813, 315.162, -99.2041)","(-0.0624954, 0.0875788, -0.994195)"
4,Left,"(-8.73004, 314.882, -100.308)","(-0.0611835, 0.0866686, -0.994357)"
4,Left,"(-7.97469, 314.581, -101.308)","(-0.0593366, 0.0809558, -0.99495)"
4,Left,"(-7.17196, 314.467, -102.322)","(-0.0566083, 0.0814011, -0.995073)"
4,Left,"(-5.48416, 313.936, -104.278)","(-0.0541491, 0.0778812, -0.995491)"
4,Left,"(-4.78999, 313.463, -105.155)","(-0.0516804, 0.0736434, -0.995945)"
4,Left,"(-3.7662, 313.162, -106.066)","(-0.0468759, 0.0768806, -0.995938)"
4,Left,"(-2.91495, 312.928, -106.967)","(-0.0453425, 0.0686239, -0.996612)"
4,Left,"(-1.97797, 312.535, -108.025)","(-0.0439575, 0.0709443, -0.996511)"
4,Left,"(-1.0056, 312.055, -108.816)","(-0.0426515, 0.0758474, -0.996207)"
4,Left,"(-7.80406e-005, 311.643, -109.584)","(-0.0406315, 0.0694076, -0.996761)"
4,Left,"(1.02463, 311.232, -110.385)","(-0.0391562, 0.0693354, -0.996825)"
4,Left,"(2.08376, 310.771, -111.29)","(-0.0369089, 0.0724162, -0.996691)"
4,Left,"(3.15202, 310.343, -111.968)","(-0.0342697, 0.0775055, -0.996403)"
4,Left,"(4.27424, 309.958, -112.674)","(-0.033637, 0.0759045, -0.996548)"
4,Left,"(5.42767, 309.71, -113.363)","(-0.0334166, 0.0702047, -0.996973)"
4,Left,"(6.619, 309.372, -114.105)","(-0.0307822, 0.0663267, -0.997323)"
4,Left,"(7.87748, 309.17, -114.796)","(-0.0297065, 0.0659548, -0.99738)"
